[21:49:16][rank0] ============================================================
[21:49:16][rank0]   EchoTrace GPU-Accelerated DDP Training
[21:49:16][rank0]   GPUs            : 4
[21:49:16][rank0]   Total samples   : 199991
[21:49:16][rank0]   Batch/GPU       : 64
[21:49:16][rank0]   Effective batch : 256
[21:49:16][rank0]   Epochs          : 10
[21:49:16][rank0]   Trainable params: 16,018,433 / 24,561,729
[21:49:16][rank0] ============================================================
[00:34:57][rank0] Epoch 06/10 | Batch  760/781 (97.3%) | Loss: 0.0001
[00:35:21][rank0] Epoch 06/10 | Batch  780/781 (99.9%) | Loss: 0.0039
[00:35:21][rank0] [epoch 06] avg_loss=0.0052 | time=26.0m | best=0.0052 <- best
[00:35:22][rank0] Saved -> /home/jovyan/work/EchoTrace/checkpoints/echo_epoch_06.pth
[00:35:31][rank0] Epoch 07/10 | Batch    0/781 ( 0.0%) | Loss: 0.0001
[00:36:09][rank0] Epoch 07/10 | Batch   20/781 ( 2.6%) | Loss: 0.0001
[00:36:49][rank0] Epoch 07/10 | Batch   40/781 ( 5.1%) | Loss: 0.0007
[00:37:28][rank0] Epoch 07/10 | Batch   60/781 ( 7.7%) | Loss: 0.0001
[00:38:08][rank0] Epoch 07/10 | Batch   80/781 (10.2%) | Loss: 0.0058
[00:38:46][rank0] Epoch 07/10 | Batch  100/781 (12.8%) | Loss: 0.0006
[00:39:28][rank0] Epoch 07/10 | Batch  120/781 (15.4%) | Loss: 0.0458
[00:40:09][rank0] Epoch 07/10 | Batch  140/781 (17.9%) | Loss: 0.0028
[00:40:56][rank0] Epoch 07/10 | Batch  160/781 (20.5%) | Loss: 0.0001
[00:41:33][rank0] Epoch 07/10 | Batch  180/781 (23.0%) | Loss: 0.0000
[00:42:17][rank0] Epoch 07/10 | Batch  200/781 (25.6%) | Loss: 0.0115
[00:42:59][rank0] Epoch 07/10 | Batch  220/781 (28.2%) | Loss: 0.0000
[00:43:41][rank0] Epoch 07/10 | Batch  240/781 (30.7%) | Loss: 0.0007
[00:44:24][rank0] Epoch 07/10 | Batch  260/781 (33.3%) | Loss: 0.0077
[00:45:06][rank0] Epoch 07/10 | Batch  280/781 (35.9%) | Loss: 0.0001
[00:45:49][rank0] Epoch 07/10 | Batch  300/781 (38.4%) | Loss: 0.0005
[00:46:33][rank0] Epoch 07/10 | Batch  320/781 (41.0%) | Loss: 0.0002
[00:47:14][rank0] Epoch 07/10 | Batch  340/781 (43.5%) | Loss: 0.0000
[00:47:54][rank0] Epoch 07/10 | Batch  360/781 (46.1%) | Loss: 0.0004
[00:48:37][rank0] Epoch 07/10 | Batch  380/781 (48.7%) | Loss: 0.0035
[00:49:20][rank0] Epoch 07/10 | Batch  400/781 (51.2%) | Loss: 0.0021
[00:50:02][rank0] Epoch 07/10 | Batch  420/781 (53.8%) | Loss: 0.0000
[00:50:48][rank0] Epoch 07/10 | Batch  440/781 (56.3%) | Loss: 0.0006
[00:51:31][rank0] Epoch 07/10 | Batch  460/781 (58.9%) | Loss: 0.0000
[00:52:14][rank0] Epoch 07/10 | Batch  480/781 (61.5%) | Loss: 0.0002
[00:52:56][rank0] Epoch 07/10 | Batch  500/781 (64.0%) | Loss: 0.0006
[00:53:34][rank0] Epoch 07/10 | Batch  520/781 (66.6%) | Loss: 0.0006
